group,year,n,v3,v3_version_3.0,v3_nvd_primary,v3_cna_secondary,v4_only,v2_only,unscored,v3_share
llm,2022,168,168,0,168,0,0,0,0,1
llm,2023,88,88,0,88,0,0,0,0,1
llm,2024,240,239,23,164,75,1,0,0,0.995833
llm,2025,391,381,77,158,223,10,0,0,0.974425
llm,2026,907,882,21,295,587,25,0,0,0.972437
llm,all,1794,1758,121,873,885,36,0,0,0.979933
other,2022,24906,24894,84,22990,1904,0,10,2,0.999518
other,2023,28728,28727,0,26436,2291,0,0,1,0.999965
other,2024,39713,39390,509,22990,16400,315,0,8,0.991867
other,2025,47762,45007,788,16507,28500,1858,0,897,0.942318
other,2026,69270,63195,447,13072,50123,4037,0,2038,0.9123
other,all,210379,201213,1828,101995,99218,6210,10,2946,0.956431
