definition,variant,n_llm,n_other,median_llm,median_other,hl_shift,hl_lo,hl_hi,hl_boot_distinct,p_superiority,psup_lo,psup_hi,rank_biserial,p_tie_pairs,mw_U,mw_p
keyword,v3,2156,200815,7.5,7.1,0.4,0.3,0.5,4,0.574041,0.562559,0.585539,0.148082,0.0581128,2.48535e+08,1.64397e-32
keyword_tier1,v3,1904,201067,7.5,7.1,0.5,0.4,0.6,5,0.576638,0.564082,0.589168,0.153276,0.0557423,2.20755e+08,6.90369e-31
bm25_0.5x,v3,1097,201874,7.5,7.1,0.5,0.4,0.7,6,0.586851,0.571282,0.602109,0.173703,0.064755,1.29962e+08,2.27484e-23
intersection_0.5x,v3,1014,201957,7.5,7.1,0.5,0.4,0.7,6,0.586124,0.570462,0.602008,0.172248,0.0647958,1.20029e+08,2.14339e-21
intersection_tier1_0.5x,v3,792,202179,7.5,7.1,0.7,0.5,0.8,8,0.597799,0.578983,0.61635,0.195599,0.061249,9.57231e+07,1.46871e-21
bm25,v3,2149,200822,7.5,7.1,0.3,0.2,0.4,5,0.557178,0.545089,0.569074,0.114356,0.0585139,2.40459e+08,5.49352e-20
intersection,v3,1758,201213,7.5,7.1,0.4,0.3,0.5,5,0.570392,0.557928,0.582815,0.140785,0.0595238,2.01766e+08,1.92925e-24
intersection_tier1,v3,1517,201454,7.5,7.1,0.4,0.3,0.6,6,0.573708,0.559671,0.588121,0.147416,0.0567421,1.75328e+08,3.08546e-23
bm25_2x,v3,4235,198736,7.5,7.1,0,0,0,2,0.518835,0.510199,0.527238,0.0376696,0.0564229,4.36676e+08,2.54342e-05
intersection_2x,v3,2001,200970,7.5,7.1,0.4,0.3,0.5,5,0.569892,0.557816,0.581785,0.139785,0.0582968,2.29177e+08,3.40021e-27
intersection_tier1_2x,v3,1755,201216,7.5,7.1,0.4,0.3,0.6,5,0.572453,0.559112,0.585783,0.144906,0.0557018,2.02153e+08,9.35766e-26
intersection,v3_lagcut,1413,171735,7.5,7.1,0.5,0.4,0.7,6,0.585263,0.57093,0.598904,0.170526,0.0629494,1.42021e+08,1.49122e-28
intersection,v3_nvd_primary_only,873,101995,7.5,7.2,0.7,0.6,1,7,0.604415,0.588187,0.620611,0.20883,0.0771819,5.38181e+07,1.18074e-26
intersection,v3_cna_secondary_only,885,99218,7.5,7.1,0.1,0,0.3,5,0.53468,0.51573,0.553853,0.0693598,0.0489135,4.69491e+07,0.00036593
intersection,v4,466,37515,7.6,6.9,0.6,0.3,0.7,8,0.59453,0.567306,0.621608,0.189061,0.0407186,1.03936e+07,1.96234e-12
intersection,v3_year_2022,168,24894,7.5,7.5,0,0,0,5,0.488792,0.461488,0.516344,-0.022417,0.0913234,2.04422e+06,0.614515
intersection,v3_year_2023,88,28727,7.5,7.3,1,0.7,1.3,15,0.650669,0.597148,0.70156,0.301339,0.102599,1.64488e+06,9.18292e-07
intersection,v3_year_2024,239,39390,7.5,6.7,1,0.7,1,8,0.641374,0.60847,0.672947,0.282747,0.0556702,6.03803e+06,3.79697e-14
intersection,v3_year_2025,381,45007,7.5,6.7,0.8,0.6,1,8,0.616253,0.588358,0.642482,0.232506,0.0612088,1.05673e+07,4.32461e-15
intersection,v3_year_2026,882,63195,7.5,7.3,0.2,0,0.3,6,0.536556,0.517187,0.556272,0.0731122,0.0489389,2.99066e+07,0.000183427
