,value
window_start,2022-01-01
window_end_exclusive,2026-09-25
n_in_window_records,220220
n_rejected,8047
n_no_en_desc,0
n_population,212173
threshold_bm25_0.5x,15.64001508709753
threshold_bm25,9.191714932393435
threshold_bm25_2x,5.872779472124467
n_keyword,2223
n_keyword_tier1,1970
n_bm25_0.5x,1112
n_intersection_0.5x,1025
n_intersection_tier1_0.5x,803
n_bm25,2223
n_intersection,1794
n_intersection_tier1,1552
n_bm25_2x,4448
n_intersection_2x,2063
n_intersection_tier1_2x,1816
snapshot_commit,f0d2604e492b09d2fac982d704b6162bdd613079
snapshot_commit_date,2026-09-25T14:04:08Z
