definition,share_from,share_to,diff_lo,diff_hi,p_increase,hl_shift,hl_lo,hl_hi,p_superiority,n_llm_v3
keyword,0.00675972,0.0166933,0.00853222,0.0113131,1,0.4,0.3,0.5,0.574041,2156
keyword_tier1,0.000219342,0.016166,0.0150053,0.0169112,1,0.5,0.4,0.6,0.576638,1904
bm25_0.5x,0.00687936,0.00690387,-0.00118609,0.0011968,0.52189,0.5,0.4,0.7,0.586851,1097
intersection_0.5x,0.00671984,0.00633389,-0.00157473,0.000754386,0.26271,0.5,0.4,0.7,0.586124,1014
intersection_tier1_0.5x,0.000179462,0.00603465,0.00526921,0.00646062,1,0.7,0.5,0.8,0.597799,792
bm25,0.00763709,0.0157955,0.00672825,0.00956266,1,0.3,0.2,0.4,0.557178,2149
intersection,0.00671984,0.0129314,0.00488025,0.00750888,1,0.4,0.3,0.5,0.570392,1758
intersection_tier1,0.000179462,0.0125182,0.0115121,0.0131924,1,0.4,0.3,0.6,0.573708,1517
bm25_2x,0.0150548,0.0304868,0.0134308,0.0173884,1,0,0,0,0.518835,4235
intersection_2x,0.00671984,0.0155391,0.00743297,0.0101673,1,0.4,0.3,0.5,0.569892,2001
intersection_tier1_2x,0.000179462,0.0150688,0.0139892,0.0158136,1,0.4,0.3,0.6,0.572453,1755
