definition,quarter,partial,k,n,mean,lo,hi
intersection,2022Q1,False,60,6016,0.0100548,0.00769187,0.012726
intersection,2022Q2,False,24,6347,0.00385948,0.00248733,0.00552688
intersection,2022Q3,False,59,6483,0.00917643,0.0070023,0.011637
intersection,2022Q4,False,25,6228,0.00409376,0.00266401,0.00582427
intersection,2023Q1,False,26,6975,0.00379874,0.00249438,0.00537185
intersection,2023Q2,False,10,7132,0.00147203,0.000721119,0.00248587
intersection,2023Q3,False,22,6930,0.00324628,0.0020477,0.00471553
intersection,2023Q4,False,30,7779,0.00392031,0.0026563,0.00542533
intersection,2024Q1,False,33,8681,0.00385856,0.00266594,0.00526722
intersection,2024Q2,False,108,11698,0.0092743,0.00761821,0.0110892
intersection,2024Q3,False,48,8523,0.00568982,0.00420572,0.0073933
intersection,2024Q4,False,51,11051,0.00465979,0.00347709,0.00601205
intersection,2025Q1,False,110,11946,0.00924918,0.00761184,0.0110421
intersection,2025Q2,False,67,11695,0.0057712,0.0044802,0.00722213
intersection,2025Q3,False,107,11725,0.00916766,0.00752332,0.0109705
intersection,2025Q4,False,107,12787,0.00840632,0.00689803,0.0100601
intersection,2026Q1,False,171,15152,0.0113179,0.0096956,0.0130623
intersection,2026Q2,False,376,20690,0.0181963,0.0164197,0.0200612
intersection,2026Q3,True,360,34335,0.0104992,0.00944836,0.011604
intersection_tier1,2022Q1,False,4,6016,0.000747881,0.000224474,0.00158022
intersection_tier1,2022Q2,False,0,6347,7.8765e-05,7.73618e-08,0.000395675
intersection_tier1,2022Q3,False,0,6483,7.71129e-05,7.57389e-08,0.000387376
intersection_tier1,2022Q4,False,0,6228,8.02697e-05,7.88399e-08,0.000403233
intersection_tier1,2023Q1,False,4,6975,0.000645069,0.000193606,0.00136305
intersection_tier1,2023Q2,False,10,7132,0.00147203,0.000721119,0.00248587
intersection_tier1,2023Q3,False,21,6930,0.00310201,0.00193356,0.00454115
intersection_tier1,2023Q4,False,28,7779,0.00366324,0.00244553,0.00512204
intersection_tier1,2024Q1,False,32,8681,0.00374338,0.00257036,0.00513247
intersection_tier1,2024Q2,False,104,11698,0.00893239,0.0073084,0.0107153
intersection_tier1,2024Q3,False,45,8523,0.00533787,0.00390383,0.00699143
intersection_tier1,2024Q4,False,50,11051,0.00456931,0.00339898,0.00590924
intersection_tier1,2025Q1,False,107,11946,0.00899807,0.00738403,0.0107677
intersection_tier1,2025Q2,False,65,11695,0.00560021,0.00432963,0.00703076
intersection_tier1,2025Q3,False,100,11725,0.0085707,0.0069831,0.010317
intersection_tier1,2025Q4,False,104,12787,0.00817172,0.00668554,0.00980352
intersection_tier1,2026Q1,False,166,15152,0.0109879,0.00939015,0.0127079
intersection_tier1,2026Q2,False,366,20690,0.017713,0.0159603,0.019554
intersection_tier1,2026Q3,True,346,34335,0.0100914,0.00906158,0.0111754
keyword,2022Q1,False,61,6016,0.010221,0.00783745,0.0129127
keyword,2022Q2,False,24,6347,0.00385948,0.00248733,0.00552688
keyword,2022Q3,False,59,6483,0.00917643,0.0070023,0.011637
keyword,2022Q4,False,25,6228,0.00409376,0.00266401,0.00582427
keyword,2023Q1,False,27,6975,0.00394209,0.00261074,0.00554214
keyword,2023Q2,False,11,7132,0.00161222,0.000819712,0.00266775
keyword,2023Q3,False,23,6930,0.00339056,0.00216252,0.00488924
keyword,2023Q4,False,32,7779,0.00417738,0.00286858,0.00572709
keyword,2024Q1,False,37,8681,0.00431928,0.00305106,0.00580339
keyword,2024Q2,False,145,11698,0.012437,0.0105089,0.0145228
keyword,2024Q3,False,58,8523,0.00686298,0.00522253,0.00872234
keyword,2024Q4,False,66,11051,0.00601701,0.00466174,0.00754144
keyword,2025Q1,False,152,11946,0.0127647,0.0108302,0.0148537
keyword,2025Q2,False,76,11695,0.0065407,0.00516139,0.00807971
keyword,2025Q3,False,129,11725,0.0110438,0.00923257,0.013013
keyword,2025Q4,False,127,12787,0.00997028,0.00832211,0.0117636
keyword,2026Q1,False,220,15152,0.0145516,0.0127064,0.0165181
keyword,2026Q2,False,482,20690,0.0233193,0.021307,0.0254189
keyword,2026Q3,True,469,34335,0.0136737,0.0124724,0.0149286
bm25,2022Q1,False,63,6016,0.0105534,0.00812913,0.0132856
bm25,2022Q2,False,32,6347,0.00511972,0.00351626,0.00701789
bm25,2022Q3,False,65,6483,0.0101018,0.00781418,0.0126753
bm25,2022Q4,False,31,6228,0.00505699,0.00345066,0.00696367
bm25,2023Q1,False,34,6975,0.00494553,0.00343778,0.00672158
bm25,2023Q2,False,17,7132,0.00245339,0.00144268,0.00372726
bm25,2023Q3,False,27,6930,0.00396768,0.0026277,0.00557809
bm25,2023Q4,False,36,7779,0.00469152,0.00329717,0.00632659
bm25,2024Q1,False,47,8681,0.00547109,0.00403015,0.00712751
bm25,2024Q2,False,123,11698,0.0105565,0.0087851,0.0124862
bm25,2024Q3,False,55,8523,0.00651103,0.00491595,0.00832517
bm25,2024Q4,False,66,11051,0.00601701,0.00466174,0.00754144
bm25,2025Q1,False,151,11946,0.012681,0.010753,0.0147634
bm25,2025Q2,False,91,11695,0.00782319,0.00630776,0.00949792
bm25,2025Q3,False,152,11725,0.0130053,0.0110345,0.0151333
bm25,2025Q4,False,125,12787,0.00981389,0.00817917,0.0115937
bm25,2026Q1,False,222,15152,0.0146836,0.0128299,0.0166585
bm25,2026Q2,False,413,20690,0.0199845,0.0181221,0.0219349
bm25,2026Q3,True,473,34335,0.0137902,0.0125837,0.0150503
