definition,year,k,n,mean,lo,hi
keyword,2022,169,25074,0.00675972,0.00578332,0.00781061
keyword,2023,93,28816,0.00324461,0.00262127,0.00393322
keyword,2024,306,39953,0.00767132,0.00683939,0.00854993
keyword,2025,484,48153,0.0100615,0.00918952,0.010972
keyword,2026,1171,70177,0.0166933,0.0157585,0.0176541
keyword_tier1,2022,5,25074,0.000219342,7.60937e-05,0.000437051
keyword_tier1,2023,66,28816,0.00230767,0.00178709,0.00289361
keyword_tier1,2024,296,39953,0.00742103,0.00660309,0.00828568
keyword_tier1,2025,469,48153,0.00974997,0.0088918,0.0106467
keyword_tier1,2026,1134,70177,0.016166,0.0152461,0.0171121
bm25_0.5x,2022,172,25074,0.00687936,0.00589407,0.00793913
bm25_0.5x,2023,69,28816,0.00241177,0.00187884,0.00301005
bm25_0.5x,2024,134,39953,0.00336637,0.00282232,0.00395749
bm25_0.5x,2025,253,48153,0.00526436,0.00463771,0.00592992
bm25_0.5x,2026,484,70177,0.00690387,0.00630468,0.00752968
intersection_0.5x,2022,168,25074,0.00671984,0.00574642,0.00776776
intersection_0.5x,2023,65,28816,0.00227296,0.00175656,0.00285473
intersection_0.5x,2024,122,39953,0.00306603,0.00254785,0.00363129
intersection_0.5x,2025,226,48153,0.00470366,0.00411226,0.00533401
intersection_0.5x,2026,444,70177,0.00633389,0.00576038,0.00693405
intersection_tier1_0.5x,2022,4,25074,0.000179462,5.38507e-05,0.000379287
intersection_tier1_0.5x,2023,42,28816,0.00147482,0.00106539,0.00194969
intersection_tier1_0.5x,2024,117,39953,0.00294088,0.00243387,0.003495
intersection_tier1_0.5x,2025,217,48153,0.00451676,0.00393758,0.00513491
intersection_tier1_0.5x,2026,423,70177,0.00603465,0.0054751,0.00662087
bm25,2022,191,25074,0.00763709,0.00659726,0.00875128
bm25,2023,114,28816,0.00397335,0.00328017,0.0047317
bm25,2024,291,39953,0.00729589,0.00648502,0.00815347
bm25,2025,519,48153,0.0107883,0.00988503,0.0117301
bm25,2026,1108,70177,0.0157955,0.0148862,0.016731
intersection,2022,168,25074,0.00671984,0.00574642,0.00776776
intersection,2023,88,28816,0.0030711,0.00246553,0.00374196
intersection,2024,240,39953,0.00601942,0.00528466,0.00680101
intersection,2025,391,48153,0.00813017,0.00734763,0.00895139
intersection,2026,907,70177,0.0129314,0.0121088,0.0137803
intersection_tier1,2022,4,25074,0.000179462,5.38507e-05,0.000379287
intersection_tier1,2023,63,28816,0.00220356,0.00169561,0.00277688
intersection_tier1,2024,231,39953,0.00579416,0.00507366,0.00656152
intersection_tier1,2025,376,48153,0.00781867,0.00705154,0.0086245
intersection_tier1,2026,878,70177,0.0125182,0.0117088,0.0133538
bm25_2x,2022,377,25074,0.0150548,0.0135846,0.0165983
bm25_2x,2023,396,28816,0.0137592,0.0124465,0.0151358
bm25_2x,2024,635,39953,0.0159058,0.0147022,0.0171553
bm25_2x,2025,901,48153,0.0187212,0.0175297,0.0199506
bm25_2x,2026,2139,70177,0.0304868,0.0292275,0.0317714
intersection_2x,2022,168,25074,0.00671984,0.00574642,0.00776776
intersection_2x,2023,92,28816,0.00320991,0.00259008,0.003895
intersection_2x,2024,263,39953,0.00659508,0.00582507,0.00741187
intersection_2x,2025,450,48153,0.0093554,0.00851503,0.0102344
intersection_2x,2026,1090,70177,0.0155391,0.0146371,0.0164671
intersection_tier1_2x,2022,4,25074,0.000179462,5.38507e-05,0.000379287
intersection_tier1_2x,2023,66,28816,0.00230767,0.00178709,0.00289361
intersection_tier1_2x,2024,254,39953,0.00636983,0.00561341,0.00717303
intersection_tier1_2x,2025,435,48153,0.0090439,0.00821784,0.00990858
intersection_tier1_2x,2026,1057,70177,0.0150688,0.0141807,0.0159832
