definition,window,year_from,year_to,k_from,n_from,k_to,n_to,share_from,share_to,diff_mean,diff_lo,diff_hi,ratio_median,ratio_lo,ratio_hi,p_increase
keyword,full,2022,2026,169,25074,1171,70177,0.00675972,0.0166933,0.00993943,0.00853222,0.0113131,2.47452,2.11248,2.91823,1
keyword,lagcut,2022,2026,169,25074,702,35842,0.00675972,0.0195994,0.0128411,0.01109,0.0146101,2.90403,2.46531,3.44668,1
keyword_tier1,full,2022,2026,5,25074,1134,70177,0.000219342,0.016166,0.0159465,0.0150053,0.0169112,78.6338,36.9335,211.656,1
keyword_tier1,lagcut,2022,2026,5,25074,683,35842,0.000219342,0.0190693,0.0188518,0.017448,0.0203045,92.7351,43.6207,251.167,1
bm25_0.5x,full,2022,2026,172,25074,484,70177,0.00687936,0.00690387,2.47067e-05,-0.00118609,0.0011968,1.00479,0.847505,1.19891,0.52189
bm25_0.5x,lagcut,2022,2026,172,25074,284,35842,0.00687936,0.00793739,0.00105442,-0.000336012,0.00242391,1.15368,0.956241,1.39697,0.933
intersection_0.5x,full,2022,2026,168,25074,444,70177,0.00671984,0.00633389,-0.000383154,-0.00157473,0.000754386,0.944067,0.793254,1.12806,0.26271
intersection_0.5x,lagcut,2022,2026,168,25074,272,35842,0.00671984,0.0076026,0.000882651,-0.000487712,0.00222757,1.13248,0.935117,1.37393,0.8993
intersection_tier1_0.5x,full,2022,2026,4,25074,423,70177,0.000179462,0.00603465,0.00585559,0.00526921,0.00646062,36.2071,15.7943,112.552,1
intersection_tier1_0.5x,lagcut,2022,2026,4,25074,260,35842,0.000179462,0.00726781,0.00708748,0.00621853,0.00800367,43.6932,18.992,135.577,1
bm25,full,2022,2026,191,25074,1108,70177,0.00763709,0.0157955,0.00816012,0.00672825,0.00956266,2.07156,1.78301,2.42151,1
bm25,lagcut,2022,2026,191,25074,635,35842,0.00763709,0.0177301,0.0100927,0.00835311,0.0118308,2.32398,1.98423,2.73688,1
intersection,full,2022,2026,168,25074,907,70177,0.00671984,0.0129314,0.0062107,0.00488025,0.00750888,1.92674,1.63884,2.2796,1
intersection,lagcut,2022,2026,168,25074,547,35842,0.00671984,0.0152749,0.00854962,0.00693123,0.0101693,2.27525,1.9202,2.70768,1
intersection_tier1,full,2022,2026,4,25074,878,70177,0.000179462,0.0125182,0.0123391,0.0115121,0.0131924,75.0294,32.9107,232.375,1
intersection_tier1,lagcut,2022,2026,4,25074,532,35842,0.000179462,0.0148565,0.014676,0.0134373,0.0159606,89.2717,38.7526,278.229,1
bm25_2x,full,2022,2026,377,25074,2139,70177,0.0150548,0.0304868,0.0154342,0.0134308,0.0173884,2.02717,1.8201,2.2626,1
bm25_2x,lagcut,2022,2026,377,25074,1090,35842,0.0150548,0.0304244,0.0153649,0.0130351,0.0176974,2.02141,1.80249,2.27169,1
intersection_2x,full,2022,2026,168,25074,1090,70177,0.00671984,0.0155391,0.00881844,0.00743297,0.0101673,2.31627,1.97502,2.73018,1
intersection_2x,lagcut,2022,2026,168,25074,644,35842,0.00671984,0.0179812,0.0112616,0.0095504,0.0129661,2.67945,2.26996,3.18191,1
intersection_tier1_2x,full,2022,2026,4,25074,1057,70177,0.000179462,0.0150688,0.0148898,0.0139892,0.0158136,90.6538,39.6909,281.013,1
intersection_tier1_2x,lagcut,2022,2026,4,25074,626,35842,0.000179462,0.017479,0.0173016,0.0159529,0.0186817,105.222,45.7403,325.382,1
