model_name,lab,card_date,card_url,asl_level,openai_preparedness_cyber_risk_pre_mitigation,openai_preparedness_cyber_risk_post_mitigation,google_ccl_cyber_autonomy_reached,google_ccl_cyber_uplift_reached,google_ccl_alert_triggered,anthropic_ctf_suite_version,ctf_web_solved,ctf_web_total,ctf_crypto_solved,ctf_crypto_total,ctf_pwn_solved,ctf_pwn_total,ctf_rev_solved,ctf_rev_total,ctf_network_solved,ctf_network_total,ctf_cyberharness_solved,ctf_cyberharness_total,ctf_pass_metric,ctf_easy_solved,ctf_easy_total,ctf_easy_pct,ctf_medium_solved,ctf_medium_total,ctf_medium_pct,cybench_score,cybench_pass_metric,cybench_challenges_tested,cybench_challenges_total,cybergym_score_pct,cybergym_pass_metric,cybergym_task_count,openai_hs_ctf_pct,openai_collegiate_ctf_pct,openai_professional_ctf_pct,openai_ctf_pass_metric,openai_cyber_range_pass_rate_pct,google_ctf_easy_solved,google_ctf_easy_total,google_ctf_medium_solved,google_ctf_medium_total,google_ctf_hard_solved,google_ctf_hard_total,google_autonomous_offense_easy_solved,google_autonomous_offense_easy_total,google_autonomous_offense_medium_solved,google_autonomous_offense_medium_total,google_autonomous_offense_hard_solved,google_autonomous_offense_hard_total,meta_cyberseceval_result_summary,external_aisi_uk_result,external_aisi_us_result,firefox_exploit_full_pct,firefox_exploit_partial_pct,comparison_models_in_card,methodology_notes,source_notes
Claude 3.5 Sonnet,Anthropic,2024-10,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,ASL-2,,,,,,SOLVE v1 (easy/medium custom CTF + Cybench),,,,,,,,,,,,,pass@30,11,23,47.8,2,13,15.4,14/34 (41%),pass@30,34,40,,,,,,,,,,,,,,,,,,,,,,UK AISI / US AISI joint pre-deployment test,,,,,SOLVE scoring: Easy 0-3.9 (<3hr) / Medium 4.0-6.9 (3-5hr). Cybench: 34-challenge subset (pass@30). CyberGym benchmark not yet published. Cyber-harness not separately reported.,From Claude 3.7 Sonnet system card comparison (Feb 2025)
Claude 3.7 Sonnet,Anthropic,2025-02,https://anthropic.com/claude-3-7-sonnet-system-card,ASL-2,,,,,,SOLVE v1 (Web/Crypto/Pwn/Rev/Network/Cyber-harness + Cybench),6,7,1,1,5,11,0,1,0,2,1,2,pass@30,13,23,56.5,4,13,30.8,15/34 (44%),pass@30,34,40,,,,,,,,,,,,,,,,,,,,,,UK AISI / US AISI joint pre-deployment test,,,,,SOLVE scoring; Hard tier not tested. Cyber-harness (3 multi-host ranges) scored pass@5: 1/1 easy and 1/2 medium. Cybench: pass-at-least-once in 34/40 subset. Claude 3.5 Sonnet (new): 11/23 easy; 2/13 medium; 14/34 Cybench. CyberGym not yet published.,Claude 3.7 Sonnet System Card Feb 2025
Claude Opus 4,Anthropic,2025-05,https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf,ASL-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyber eval in Section 7 — PDF truncated before that section in extraction. Card notes substantially improved CBRN capabilities warranting ASL-3. Cyber eval framework transitioning from SOLVE to new fixed-task suite.,Claude Opus 4 & Sonnet 4 System Card May 2025
Claude Sonnet 4,Anthropic,2025-05,https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf,ASL-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same joint card as Claude Opus 4. Sonnet 4 released under ASL-2. Cyber section not fully extracted.,Claude Opus 4 & Sonnet 4 System Card May 2025
Claude Sonnet 4.5,Anthropic,2025-09,https://www.anthropic.com/claude-sonnet-4-5-system-card,ASL-2,,,,,,Fixed CTF suite v2 (Web/Crypto/Pwn/Rev/Network) + Cybench + CyberGym,11,13,14,18,2,7,5,6,3,5,,,pass@30,,,,,,,60,pass@30,40,40,29.8,pass@1 (avg 5 trials),1505,,,,,,,,,,,,,,,,,,,Cited as comparison in Claude Opus 4.5 and 4.6 cards,,,,Claude Opus 4.5; Claude Opus 4.6,Fixed task suite — same problem set used across Claude models. Cyber-harness dropped from v2 suite. CyberGym introduced. No per-difficulty-tier breakdown in v2 suite.,From Claude Opus 4.5 and 4.6 system card comparisons
Claude Opus 4.5,Anthropic,2025-11,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,ASL-3,,,,,,Fixed CTF suite v2 (Web/Crypto/Pwn/Rev/Network) + Cybench + CyberGym,12,13,15,18,3,7,6,6,4,5,,,pass@30,,,,,,,79,pass@30,40,40,50.63,pass@1 (avg 5 trials),1505,,,,,,,,,,,,,,,,,,,CAISI and UK AISI assessments withheld in card,,,,Claude Sonnet 4.5,CyberGym score from direct card read: 50.63% (cited as 51.0% rounded in Opus 4.6 card). Fixed CTF suite — first card with CyberGym (benchmark paper Jun 2025). CAISI and AISI detailed results withheld.,Claude Opus 4.5 System Card Nov 2025
Claude Haiku 4.5,Anthropic,2025-10,https://assets.anthropic.com/m/99128ddd009bdcb/Claude-Haiku-4-5-System-Card.pdf,ASL-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No dedicated cybersecurity benchmark section found in card.,Claude Haiku 4.5 System Card Oct 2025
Claude Opus 4.6,Anthropic,2026-02,https://www-cdn.anthropic.com/14e4fb01875d2a69f646fa5e574dea2b1c0ff7b5.pdf,ASL-3,,,,,,Fixed CTF suite v2 + Cybench + CyberGym,13,13,16,18,5,7,6,6,5,5,,,pass@30,,,,,,,93,pass@30,40,40,66.6,pass@1,1507,,,,,,,,,,,,,,,,,,,CAISI assessment conducted (no public detailed scores),,,,Claude Opus 4.5; Claude Sonnet 4.5,Card exec summary states ~100% Cybench pass@30 (saturation language); 93% is from Zvi's card table. CyberGym tasks increased from 1505 to 1507. Card flags evaluation saturation — benchmarks no longer provide meaningful capability signal. Six new cybersecurity probes developed.,Claude Opus 4.6 System Card Feb 2026 + Zvi substack analysis
Claude Sonnet 4.6,Anthropic,2026-02,https://www-cdn.anthropic.com/78073f739564e986ff3e28522761a7a0b4484f84.pdf,ASL-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Separate system card; cyber section not extracted. Substantially improved over Sonnet 4.5.,Claude Sonnet 4.6 System Card Feb 2026
Claude Mythos Preview,Anthropic,2026-04,https://cdn.sanity.io/files/4zrzovbb/website/7624816413e9b4d2e3ba620c5a5e091b98b190a5.pdf,ASL-3 (unreleased — cybersecurity risk too high for deployment),,,,,,Fixed CTF suite v2 + Cybench + CyberGym,,,,,,,,,,,,,pass@30,,,,,,,100,pass@30,40,40,83,pass@1,,,,,,,,,,,,,,,,,,,,CAISI and UK AISI assessed (cited in companion cards),,72,,Claude Opus 4.6; Claude Opus 4.7,Never deployed commercially — first Anthropic model deemed too dangerous for release. Firefox 147 full exploit: 72% (from Opus 4.7 card). Per-category CTF breakdown not extracted. 244-page system card published Apr 7 2026.,Inferred from Claude Opus 4.6 and 4.7 system cards + Zvi substack analysis
