benchmark,n_models,n_frontier,first_date,last_date,current_sota,crossed_90,crossed_95,projected_95,sat,lifespan_yr,empirical,model,ceiling,rate_k,rmse,vmax,intro_yr,gain24
fictionlivebench,42,31,2024-12-17,2026-01-27,1.0,2025-03-25,2025-04-16,,2025-04-16,0.32854209445585214,True,,,,,,2024.964383561644,
otis_mock_aime_2024_2025,154,96,2023-03-14,2026-07-09,1.0,2025-08-07,2025-12-11,,2025-12-11,2.746064339493498,True,gompertz,0.9434,3.91,0.0466,13.37962962962963,2023.2,89.56349206349205
math_level_5,108,67,2023-06-13,2025-10-15,0.981,2024-12-17,2025-01-31,,2025-01-31,1.6372347707049966,True,logistic,1.0,2.413,0.0822,12.5,2023.4493150684932,
arc_agi,158,50,2024-09-12,2026-07-09,0.98,2025-12-11,2026-02-19,,2026-02-19,1.4373716632443532,True,logistic,1.0,2.731,0.0564,8.766666666666667,2024.7013698630137,
arc_ai2,133,52,2019-11-05,2024-12-26,0.953,2024-04-23,2024-07-23,,2024-07-23,4.714579055441479,True,logistic,0.9793,1.221,0.101,16.299999999999994,2019.8465753424657,60.199999999999996
hella_swag,107,52,2019-11-05,2024-12-26,0.953,2023-03-14,2023-03-14,,2023-03-14,3.353867214236824,True,logistic,1.0,0.774,0.0497,5.400000000000005,2019.8465753424657,
gpqa_diamond,181,114,2023-03-14,2026-07-09,0.946,2025-11-18,,2026-07-01,2026-07-01,3.299110198494182,False,logistic,1.0,1.161,0.0496,5.376683501683511,2023.2,48.447712418300654
gsm8k,162,53,2020-06-22,2024-11-29,0.945,2023-03-14,,,,,False,gompertz,0.9266,2.74,0.0751,18.7,2020.4767123287672,89.95
cybench,22,19,2024-02-15,2026-02-05,0.93,2026-02-05,,2026-12-01,2026-12-01,2.7926078028747434,False,logistic,1.0,2.502,0.0739,13.0,2024.1260273972603,
arc_agi_2,158,49,2024-07-18,2026-07-09,0.925,2026-07-09,,2026-06-13,2026-06-13,1.9028062970568105,False,logistic,0.9386,6.2,0.0477,15.64666666666667,2024.5479452054794,
science_qa,26,16,2022-01-27,2024-08-16,0.913,2024-08-16,,,,,False,logistic,1.0,0.247,0.0367,2.9333333333333433,2022.0739726027398,
vpct,38,23,2024-06-20,2025-12-17,0.91,2025-11-18,,2026-12-01,2026-12-01,2.4476386036960984,False,logistic,1.0,1.413,0.0543,8.333333333333337,2024.4712328767123,
bool_q,123,49,2019-11-05,2024-08-17,0.909,2023-05-17,,,,,False,logistic,1.0,0.536,0.064,6.4766666666666755,2019.8465753424657,
terminalbench,203,37,2025-06-17,2026-04-23,0.902,2026-04-16,,2026-08-10,2026-08-10,1.1471594798083504,False,,,,,,2025.4602739726026,
bbh,88,34,2023-02-24,2024-12-26,0.892,,,2025-04-18,2025-04-18,2.1464750171115674,False,gompertz,0.959,1.221,0.0382,5.573333333333331,2023.150684931507,
wino_grande,137,53,2019-11-05,2024-12-26,0.892,,,,,,False,logistic,1.0,0.502,0.0509,4.9000000000000155,2019.8465753424657,
weirdml,144,86,2023-06-13,2026-07-09,0.888,,,2027-08-11,2027-08-11,4.161533196440794,False,logistic,1.0,1.267,0.0413,5.530000000000007,2023.4493150684932,59.063861386138605
piqa,112,43,2019-11-05,2024-12-26,0.887,,,,,,False,logistic,0.9931,0.269,0.0247,2.5966666666666693,2019.8465753424657,
mmlu,215,84,2021-08-05,2025-02-26,0.881,,,,,,False,gompertz,0.8594,2.124,0.0594,11.433333333333334,2021.5945205479452,
aider_polyglot,72,49,2024-03-26,2025-12-01,0.88,,,2025-11-17,2025-11-17,1.6454483230663928,False,logistic,0.877,4.695,0.0426,13.800000000000004,2024.2356164383561,
open_book_qa,70,31,2019-11-05,2024-04-23,0.88,,,2026-12-30,2026-12-30,7.151266255989048,False,logistic,0.9359,0.953,0.0782,9.066666666666666,2019.8465753424657,45.60000000000001
trivia_qa,113,27,2021-12-08,2024-12-26,0.876,,,,,,False,logistic,1.0,0.492,0.0145,1.866666666666672,2021.9369863013699,
lambada,53,19,2021-12-08,2023-11-30,0.872,,,,,,False,,,,,,2021.9369863013699,
swe_bench_verified,35,28,2024-11-20,2026-06-16,0.835,,,2027-06-13,2027-06-13,2.5598904859685145,False,logistic,0.7772,5.371,0.0441,10.442368347506692,2024.890410958904,
live_bench,52,35,2024-02-29,2025-11-13,0.823,,,2026-06-07,2026-06-07,2.269678302532512,False,logistic,1.0,1.352,0.0505,5.970000000000009,2024.164383561644,
simplebench,91,67,2024-02-29,2026-07-09,0.819,,,2027-06-22,2027-06-22,3.3100616016427105,False,logistic,0.9881,1.298,0.0304,4.733333333333334,2024.164383561644,56.10000000000001
video_mme,50,44,2023-08-20,2025-06-18,0.797,,,,,,False,logistic,0.7618,5.032,0.0302,8.366666666666678,2023.6356164383562,
simpleqa_verified,64,46,2024-10-22,2026-07-09,0.773,,,2027-05-01,2027-05-01,2.521560574948665,False,gompertz,0.6998,8.037,0.0725,16.433333333333337,2024.8109589041096,
gbaeval,16,15,2026-02-05,2026-06-16,0.745,,,2027-01-31,2027-01-31,0.9856262833675564,False,,,,,,2026.0986301369862,
cad_eval,14,11,2024-03-07,2025-04-16,0.74,,,2026-03-20,2026-03-20,2.0342231348391513,False,logistic,0.745,4.494,0.0458,12.000000000000005,2024.1835616438357,
os_world,20,9,2024-09-19,2026-02-17,0.721,,,2027-02-07,2027-02-07,2.3846680355920604,False,gompertz,0.7531,2.676,0.0595,10.26666666666667,2024.7205479452055,
superglue,1,1,2022-01-27,2022-01-27,0.718,,,,,,False,,,,,,2022.0739726027398,
chess_puzzles,56,42,2025-01-31,2026-07-09,0.64,,,2027-11-08,2027-11-08,2.7679671457905544,False,logistic,1.0,1.73,0.0269,,2025.0849315068492,
scicode,68,41,2024-07-23,2026-07-09,0.602,,,2029-04-19,2029-04-19,4.739219712525667,False,gompertz,0.661,1.205,0.0437,,2024.5616438356165,
adversarial_nli,15,9,2022-01-27,2024-04-23,0.581,,,2030-10-11,2030-10-11,8.70362765229295,False,logistic,1.0,0.171,0.035,,2022.0739726027398,
balrog,36,22,2024-05-13,2026-02-19,0.581,,,2029-10-08,2029-10-08,5.404517453798768,False,logistic,1.0,0.572,0.0322,,2024.3671232876711,
common_sense_qa_2,3,3,2022-01-27,2023-07-18,0.57,,,,,,False,gompertz,0.5506,0.434,0.0088,,2022.0739726027398,
the_agent_company,16,13,2024-06-07,2025-09-29,0.524,,,2027-07-26,2027-07-26,3.132101300479124,False,gompertz,0.4716,3.634,0.0374,,2024.4356164383562,
frontiermath,101,57,2024-06-20,2026-05-28,0.524,,,2028-01-20,2028-01-20,3.583846680355921,False,gompertz,0.6231,1.58,0.0269,,2024.4712328767123,
gdpval,11,10,2024-11-20,2025-12-11,0.497,,,2027-11-07,2027-11-07,2.9623545516769334,False,logistic,0.5156,4.403,0.0412,,2024.890410958904,
apex_agents,49,41,2024-11-20,2026-06-16,0.496,,,2028-01-24,2028-01-24,3.1759069130732374,False,gompertz,0.8873,1.106,0.0413,,2024.890410958904,
frontiermath_tier_4,72,46,2024-06-20,2026-05-28,0.479,,,2027-07-31,2027-07-31,3.1101984941820673,False,logistic,0.6501,3.28,0.0207,,2024.4712328767123,
hle,51,36,2024-09-24,2026-04-16,0.464,,,2028-01-19,2028-01-19,3.3182751540041067,False,gompertz,0.9777,0.966,0.0247,,2024.7342465753425,
gso,36,23,2024-10-22,2026-04-23,0.441,,,2027-05-31,2027-05-31,2.6036960985626285,False,logistic,1.0,2.593,0.0266,,2024.8109589041096,
exploitbench,17,8,2025-10-15,2026-04-23,0.41,,,2028-01-29,2028-01-29,2.2888432580424367,False,,,,,,2025.7890410958903,
posttrainbench,30,21,2025-09-24,2026-06-16,0.343,,,2028-06-08,2028-06-08,2.704996577686516,False,,,,,,2025.731506849315,
critpt,69,49,2024-07-23,2026-07-09,0.323,,,2028-03-18,2028-03-18,3.652292950034223,False,logistic,0.3764,3.98,0.0266,,2024.5616438356165,
gdp_pdf,9,9,2025-12-17,2026-06-09,0.3,,,2027-12-24,2027-12-24,2.0177960301163584,False,,,,,,2025.9616438356165,
cl_bench,22,19,2025-04-16,2026-03-31,0.279,,,2032-04-01,2032-04-01,6.959616700889802,False,,,,,,2025.2904109589042,
cl_bench_life,16,13,2025-09-29,2026-04-24,0.222,,,2029-12-15,2029-12-15,4.210814510609172,False,,,,,,2025.7452054794521,
osworld_2,9,6,2026-02-17,2026-06-01,0.206,,,2027-12-24,2027-12-24,1.8480492813141685,False,,,,,,2026.131506849315,
rli,10,9,2025-06-05,2026-06-09,0.161,,,2028-01-09,2028-01-09,2.595482546201232,False,,,,,,2025.427397260274,
frontiercode,11,11,2026-01-27,2026-05-28,0.134,,,,,,False,,,,,,2026.0739726027398,
