benchmark,model,ceiling,midpoint_year,rate_k,rmse,n
adversarial_nli,logistic,1.0,2023.79,0.36,0.0468,28
adversarial_nli,gompertz,1.0,2022.27,0.237,0.048,28
aider_polyglot,logistic,0.8849,2024.78,4.613,0.0387,22
aider_polyglot,gompertz,0.9192,2024.66,3.018,0.0412,22
apex_agents,logistic,0.6809,2026.04,2.37,0.0422,20
apex_agents,gompertz,1.0,2026.11,1.027,0.0404,20
arc_agi,logistic,1.0,2025.27,2.831,0.0526,23
arc_agi,gompertz,1.0,2025.05,2.09,0.0583,23
arc_agi_2,logistic,0.9386,2025.89,6.2,0.0477,25
arc_agi_2,gompertz,1.0,2025.8,3.788,0.0587,25
arc_ai2,logistic,0.9779,2021.7,1.224,0.0968,62
arc_ai2,gompertz,1.0,2021.17,0.779,0.1089,62
balrog,logistic,1.0,2025.74,0.684,0.0353,22
balrog,gompertz,1.0,2024.93,0.443,0.0373,22
bbh,logistic,0.9408,2022.81,1.545,0.0329,23
bbh,gompertz,0.9544,2022.58,1.276,0.0328,23
bool_q,logistic,1.0,2019.62,0.534,0.0557,58
bool_q,gompertz,1.0,2018.87,0.45,0.0576,58
cad_eval,logistic,0.745,2024.71,4.494,0.0458,14
cad_eval,gompertz,0.9725,2024.69,2.063,0.0486,14
chess_puzzles,logistic,0.8837,2025.85,1.83,0.0279,19
chess_puzzles,gompertz,1.0,2025.64,1.059,0.03,19
common_sense_qa_2,logistic,0.5916,2015.0,0.287,0.0109,19
common_sense_qa_2,gompertz,0.5812,2015.0,0.318,0.0109,19
critpt,logistic,0.3764,2025.97,3.98,0.0266,25
critpt,gompertz,0.4898,2025.94,1.831,0.027,25
cybench,logistic,1.0,2025.51,2.502,0.0739,25
cybench,gompertz,1.0,2025.24,1.5,0.0968,25
fictionlivebench,logistic,1.0,2024.92,7.781,0.0438,14
fictionlivebench,gompertz,1.0,2024.87,6.571,0.0469,14
frontiermath,logistic,0.549,2025.52,2.843,0.031,24
frontiermath,gompertz,0.6555,2025.41,1.496,0.0266,24
frontiermath_tier_4,logistic,0.6501,2026.06,3.28,0.0207,24
frontiermath_tier_4,gompertz,1.0,2026.15,1.342,0.0221,24
gdpval,logistic,0.5156,2025.31,4.403,0.0412,14
gdpval,gompertz,0.6098,2025.24,2.304,0.0428,14
gpqa_diamond,logistic,1.0,2024.12,1.17,0.0474,41
gpqa_diamond,gompertz,1.0,2023.63,0.87,0.0594,41
gsm8k,logistic,0.9244,2022.39,3.721,0.0792,54
gsm8k,gompertz,0.9333,2022.22,2.681,0.0717,54
gso,logistic,1.0,2026.31,2.593,0.0266,19
gso,gompertz,1.0,2026.11,1.305,0.0334,19
hella_swag,logistic,1.0,2020.6,0.816,0.0436,62
hella_swag,gompertz,1.0,2020.01,0.655,0.0482,62
hle,logistic,0.6005,2025.69,2.377,0.0248,20
hle,gompertz,0.8545,2025.73,1.063,0.0239,20
lambada,logistic,0.8726,2021.83,20.0,0.0052,24
lambada,gompertz,0.8726,2021.82,20.0,0.0049,24
live_bench,logistic,0.9567,2024.25,1.435,0.0454,22
live_bench,gompertz,1.0,2023.95,1.03,0.047,22
math_level_5,logistic,1.0,2024.2,2.416,0.0793,29
math_level_5,gompertz,1.0,2023.92,1.704,0.094,29
mmlu,logistic,0.8582,2021.87,2.562,0.061,43
mmlu,gompertz,0.8638,2021.69,2.069,0.0576,43
open_book_qa,logistic,0.9359,2021.84,0.953,0.0782,54
open_book_qa,gompertz,1.0,2021.31,0.59,0.0832,54
os_world,logistic,0.7043,2025.27,4.239,0.0639,18
os_world,gompertz,0.7531,2025.15,2.676,0.0595,18
otis_mock_aime_2024_2025,logistic,0.9449,2024.79,5.356,0.0502,41
otis_mock_aime_2024_2025,gompertz,0.9615,2024.68,3.648,0.0468,41
piqa,logistic,1.0,2017.15,0.265,0.0238,62
piqa,gompertz,1.0,2015.95,0.234,0.024,62
scicode,logistic,0.6486,2025.12,1.628,0.0452,25
scicode,gompertz,0.6832,2024.84,1.134,0.043,25
science_qa,logistic,1.0,2018.44,0.247,0.0367,32
science_qa,gompertz,1.0,2017.05,0.214,0.037,32
simplebench,logistic,0.9678,2025.08,1.329,0.0302,30
simplebench,gompertz,1.0,2024.68,0.909,0.0335,30
simpleqa_verified,logistic,0.7462,2025.28,7.103,0.0699,22
simpleqa_verified,gompertz,0.7547,2025.2,5.295,0.0665,22
swe_bench_verified,logistic,0.7917,2024.97,4.952,0.0448,20
swe_bench_verified,gompertz,0.803,2024.87,3.674,0.0445,20
the_agent_company,logistic,0.4716,2024.72,4.795,0.0404,16
the_agent_company,gompertz,0.4716,2024.6,3.634,0.0374,16
trivia_qa,logistic,0.8874,2020.48,1.172,0.012,37
trivia_qa,gompertz,0.8883,2020.32,1.105,0.012,37
video_mme,logistic,0.7618,2023.62,5.032,0.0302,23
video_mme,gompertz,0.7647,2023.53,4.077,0.0326,23
vpct,logistic,1.0,2025.12,1.538,0.0626,19
vpct,gompertz,1.0,2024.74,1.07,0.0694,19
weirdml,logistic,1.0,2025.13,1.267,0.0413,38
weirdml,gompertz,1.0,2024.63,0.858,0.0448,38
wino_grande,logistic,1.0,2019.82,0.49,0.0494,62
wino_grande,gompertz,1.0,2018.98,0.41,0.051,62
