benchmark,month,months_since_50,sota
adversarial_nli,2022-01-01,-21.25,0.397
adversarial_nli,2022-02-01,-20.24,0.397
adversarial_nli,2022-03-01,-19.32,0.397
adversarial_nli,2022-04-01,-18.3,0.397
adversarial_nli,2022-05-01,-17.31,0.397
adversarial_nli,2022-06-01,-16.29,0.397
adversarial_nli,2022-07-01,-15.31,0.397
adversarial_nli,2022-08-01,-14.29,0.397
adversarial_nli,2022-09-01,-13.27,0.397
adversarial_nli,2022-10-01,-12.29,0.397
adversarial_nli,2022-11-01,-11.27,0.397
adversarial_nli,2022-12-01,-10.28,0.397
adversarial_nli,2023-01-01,-9.26,0.397
adversarial_nli,2023-02-01,-8.25,0.397
adversarial_nli,2023-03-01,-7.33,0.397
adversarial_nli,2023-04-01,-6.31,0.397
adversarial_nli,2023-05-01,-5.32,0.397
adversarial_nli,2023-06-01,-4.3,0.397
adversarial_nli,2023-07-01,-3.32,0.397
adversarial_nli,2023-08-01,-2.3,0.397
adversarial_nli,2023-09-01,-1.28,0.471
adversarial_nli,2023-10-01,-0.3,0.471
adversarial_nli,2023-11-01,0.72,0.581
adversarial_nli,2023-12-01,1.71,0.581
adversarial_nli,2024-01-01,2.73,0.581
adversarial_nli,2024-02-01,3.75,0.581
adversarial_nli,2024-03-01,4.7,0.581
adversarial_nli,2024-04-01,5.72,0.581
aider_polyglot,2024-03-01,-6.96,0.102
aider_polyglot,2024-04-01,-5.95,0.102
aider_polyglot,2024-05-01,-4.96,0.102
aider_polyglot,2024-06-01,-3.94,0.102
aider_polyglot,2024-07-01,-2.96,0.102
aider_polyglot,2024-08-01,-1.94,0.231
aider_polyglot,2024-09-01,-0.92,0.3289999999999999
aider_polyglot,2024-10-01,0.07,0.516
aider_polyglot,2024-11-01,1.08,0.516
aider_polyglot,2024-12-01,2.07,0.617
aider_polyglot,2025-01-01,3.09,0.617
aider_polyglot,2025-02-01,4.11,0.649
aider_polyglot,2025-03-01,5.03,0.7290000000000001
aider_polyglot,2025-04-01,6.04,0.813
