benchmark,month,sota
adversarial_nli,2022-01-01,0.397
adversarial_nli,2022-02-01,0.397
adversarial_nli,2022-03-01,0.397
adversarial_nli,2022-04-01,0.397
adversarial_nli,2022-05-01,0.397
adversarial_nli,2022-06-01,0.397
adversarial_nli,2022-07-01,0.397
adversarial_nli,2022-08-01,0.397
adversarial_nli,2022-09-01,0.397
adversarial_nli,2022-10-01,0.397
adversarial_nli,2022-11-01,0.397
adversarial_nli,2022-12-01,0.397
adversarial_nli,2023-01-01,0.397
adversarial_nli,2023-02-01,0.397
adversarial_nli,2023-03-01,0.397
adversarial_nli,2023-04-01,0.397
adversarial_nli,2023-05-01,0.397
adversarial_nli,2023-06-01,0.397
adversarial_nli,2023-07-01,0.397
adversarial_nli,2023-08-01,0.397
adversarial_nli,2023-09-01,0.471
adversarial_nli,2023-10-01,0.471
adversarial_nli,2023-11-01,0.581
adversarial_nli,2023-12-01,0.581
adversarial_nli,2024-01-01,0.581
adversarial_nli,2024-02-01,0.581
adversarial_nli,2024-03-01,0.581
adversarial_nli,2024-04-01,0.581
aider_polyglot,2024-03-01,0.102
aider_polyglot,2024-04-01,0.102
aider_polyglot,2024-05-01,0.102
aider_polyglot,2024-06-01,0.102
aider_polyglot,2024-07-01,0.102
aider_polyglot,2024-08-01,0.231
aider_polyglot,2024-09-01,0.3289999999999999
aider_polyglot,2024-10-01,0.516
aider_polyglot,2024-11-01,0.516
aider_polyglot,2024-12-01,0.617
aider_polyglot,2025-01-01,0.617
aider_polyglot,2025-02-01,0.649
aider_polyglot,2025-03-01,0.7290000000000001
aider_polyglot,2025-04-01,0.813
aider_polyglot,2025-05-01,0.813
aider_polyglot,2025-06-01,0.8490000000000001
aider_polyglot,2025-07-01,0.8490000000000001
aider_polyglot,2025-08-01,0.88
aider_polyglot,2025-09-01,0.88
aider_polyglot,2025-10-01,0.88
aider_polyglot,2025-11-01,0.88
aider_polyglot,2025-12-01,0.88
apex_agents,2024-11-01,0.011
apex_agents,2024-12-01,0.011
apex_agents,2025-01-01,0.011
apex_agents,2025-02-01,0.011
apex_agents,2025-03-01,0.011
apex_agents,2025-04-01,0.172
apex_agents,2025-05-01,0.172
apex_agents,2025-06-01,0.172
apex_agents,2025-07-01,0.172
apex_agents,2025-08-01,0.183
apex_agents,2025-09-01,0.2
apex_agents,2025-10-01,0.2
apex_agents,2025-11-01,0.206
apex_agents,2025-12-01,0.3429999999999999
apex_agents,2026-01-01,0.3429999999999999
apex_agents,2026-02-01,0.3429999999999999
apex_agents,2026-03-01,0.359
apex_agents,2026-04-01,0.384
apex_agents,2026-05-01,0.496
apex_agents,2026-06-01,0.496
arc_agi,2024-09-01,0.18
arc_agi,2024-10-01,0.18
arc_agi,2024-11-01,0.18
arc_agi,2024-12-01,0.307
arc_agi,2025-01-01,0.345
arc_agi,2025-02-01,0.345
arc_agi,2025-03-01,0.345
arc_agi,2025-04-01,0.608
arc_agi,2025-05-01,0.608
arc_agi,2025-06-01,0.608
arc_agi,2025-07-01,0.6667000000000001
arc_agi,2025-08-01,0.6667000000000001
arc_agi,2025-09-01,0.6667000000000001
arc_agi,2025-10-01,0.702
arc_agi,2025-11-01,0.8
arc_agi,2025-12-01,0.905
arc_agi,2026-01-01,0.905
arc_agi,2026-02-01,0.98
arc_agi,2026-03-01,0.98
arc_agi,2026-04-01,0.98
arc_agi,2026-05-01,0.98
arc_agi,2026-06-01,0.98
arc_agi,2026-07-01,0.98
arc_agi_2,2024-07-01,0.0
arc_agi_2,2024-08-01,0.0
arc_agi_2,2024-09-01,0.0083
arc_agi_2,2024-10-01,0.0083
arc_agi_2,2024-11-01,0.0083
arc_agi_2,2024-12-01,0.0083
arc_agi_2,2025-01-01,0.0299
arc_agi_2,2025-02-01,0.0299
arc_agi_2,2025-03-01,0.0299
arc_agi_2,2025-04-01,0.0653
arc_agi_2,2025-05-01,0.0861
arc_agi_2,2025-06-01,0.0861
arc_agi_2,2025-07-01,0.15975
arc_agi_2,2025-08-01,0.15975
arc_agi_2,2025-09-01,0.15975
arc_agi_2,2025-10-01,0.1833
arc_agi_2,2025-11-01,0.3764
arc_agi_2,2025-12-01,0.5416
arc_agi_2,2026-01-01,0.5416
arc_agi_2,2026-02-01,0.8458
arc_agi_2,2026-03-01,0.8458
arc_agi_2,2026-04-01,0.85
arc_agi_2,2026-05-01,0.85
arc_agi_2,2026-06-01,0.85
arc_agi_2,2026-07-01,0.925
arc_ai2,2019-11-01,0.25
arc_ai2,2019-12-01,0.25
arc_ai2,2020-01-01,0.25
arc_ai2,2020-02-01,0.25
arc_ai2,2020-03-01,0.25
arc_ai2,2020-04-01,0.25
arc_ai2,2020-05-01,0.25
arc_ai2,2020-06-01,0.25
arc_ai2,2020-07-01,0.25
arc_ai2,2020-08-01,0.25
arc_ai2,2020-09-01,0.25
arc_ai2,2020-10-01,0.25
arc_ai2,2020-11-01,0.25
arc_ai2,2020-12-01,0.25
arc_ai2,2021-01-01,0.25
arc_ai2,2021-02-01,0.25
arc_ai2,2021-03-01,0.25
arc_ai2,2021-04-01,0.25
arc_ai2,2021-05-01,0.25
arc_ai2,2021-06-01,0.25
arc_ai2,2021-07-01,0.25
arc_ai2,2021-08-01,0.363
arc_ai2,2021-09-01,0.363
arc_ai2,2021-10-01,0.363
arc_ai2,2021-11-01,0.363
arc_ai2,2021-12-01,0.363
arc_ai2,2022-01-01,0.532
arc_ai2,2022-02-01,0.532
arc_ai2,2022-03-01,0.852
arc_ai2,2022-04-01,0.852
arc_ai2,2022-05-01,0.852
arc_ai2,2022-06-01,0.852
arc_ai2,2022-07-01,0.852
arc_ai2,2022-08-01,0.852
arc_ai2,2022-09-01,0.852
arc_ai2,2022-10-01,0.852
arc_ai2,2022-11-01,0.852
arc_ai2,2022-12-01,0.852
arc_ai2,2023-01-01,0.852
arc_ai2,2023-02-01,0.852
arc_ai2,2023-03-01,0.852
arc_ai2,2023-04-01,0.852
arc_ai2,2023-05-01,0.852
arc_ai2,2023-06-01,0.852
arc_ai2,2023-07-01,0.861
arc_ai2,2023-08-01,0.863
arc_ai2,2023-09-01,0.863
arc_ai2,2023-10-01,0.863
arc_ai2,2023-11-01,0.874
arc_ai2,2023-12-01,0.874
arc_ai2,2024-01-01,0.874
arc_ai2,2024-02-01,0.874
arc_ai2,2024-03-01,0.874
arc_ai2,2024-04-01,0.916
arc_ai2,2024-05-01,0.922
arc_ai2,2024-06-01,0.922
arc_ai2,2024-07-01,0.953
arc_ai2,2024-08-01,0.953
arc_ai2,2024-09-01,0.953
arc_ai2,2024-10-01,0.953
arc_ai2,2024-11-01,0.953
arc_ai2,2024-12-01,0.953
balrog,2024-05-01,0.323
balrog,2024-06-01,0.323
balrog,2024-07-01,0.323
balrog,2024-08-01,0.323
balrog,2024-09-01,0.323
balrog,2024-10-01,0.326
balrog,2024-11-01,0.326
balrog,2024-12-01,0.326
balrog,2025-01-01,0.349
balrog,2025-02-01,0.349
balrog,2025-03-01,0.433
balrog,2025-04-01,0.433
balrog,2025-05-01,0.433
balrog,2025-06-01,0.433
balrog,2025-07-01,0.436
balrog,2025-08-01,0.436
balrog,2025-09-01,0.436
balrog,2025-10-01,0.436
balrog,2025-11-01,0.581
balrog,2025-12-01,0.581
balrog,2026-01-01,0.581
balrog,2026-02-01,0.581
bbh,2023-02-01,0.584
bbh,2023-03-01,0.584
bbh,2023-04-01,0.584
bbh,2023-05-01,0.584
bbh,2023-06-01,0.7512
bbh,2023-07-01,0.7512
bbh,2023-08-01,0.7512
bbh,2023-09-01,0.7512
bbh,2023-10-01,0.7512
bbh,2023-11-01,0.7512
bbh,2023-12-01,0.7512
bbh,2024-01-01,0.7512
bbh,2024-02-01,0.84
bbh,2024-03-01,0.84
bbh,2024-04-01,0.84
bbh,2024-05-01,0.892
bbh,2024-06-01,0.892
bbh,2024-07-01,0.892
bbh,2024-08-01,0.892
bbh,2024-09-01,0.892
bbh,2024-10-01,0.892
bbh,2024-11-01,0.892
bbh,2024-12-01,0.892
bool_q,2019-11-01,0.618
bool_q,2019-12-01,0.618
bool_q,2020-01-01,0.618
bool_q,2020-02-01,0.618
bool_q,2020-03-01,0.618
bool_q,2020-04-01,0.618
bool_q,2020-05-01,0.618
bool_q,2020-06-01,0.618
bool_q,2020-07-01,0.618
bool_q,2020-08-01,0.618
bool_q,2020-09-01,0.618
bool_q,2020-10-01,0.618
bool_q,2020-11-01,0.618
bool_q,2020-12-01,0.618
bool_q,2021-01-01,0.618
bool_q,2021-02-01,0.618
bool_q,2021-03-01,0.618
bool_q,2021-04-01,0.618
bool_q,2021-05-01,0.618
bool_q,2021-06-01,0.618
bool_q,2021-07-01,0.618
bool_q,2021-08-01,0.654
bool_q,2021-09-01,0.654
bool_q,2021-10-01,0.654
bool_q,2021-11-01,0.654
bool_q,2021-12-01,0.794
bool_q,2022-01-01,0.8483
bool_q,2022-02-01,0.8483
bool_q,2022-03-01,0.877
bool_q,2022-04-01,0.887
bool_q,2022-05-01,0.887
bool_q,2022-06-01,0.887
bool_q,2022-07-01,0.887
bool_q,2022-08-01,0.887
bool_q,2022-09-01,0.887
bool_q,2022-10-01,0.887
bool_q,2022-11-01,0.887
bool_q,2022-12-01,0.887
